# Generated by timeskew on an x86 system
143.101275240 143.101275190 143.101275366 143.101275429 -5e-08 1.26e-07 6.3e-08
144.102139329 144.102139283 144.102139492 144.102139550 -4.6e-08 1.63e-07 5.8e-08
145.102381572 145.102381522 145.102381724 145.102381761 -5e-08 1.52e-07 3.7e-08
146.103284178 146.103284109 146.103284308 146.103284360 -6.9e-08 1.3e-07 5.2e-08
147.104225241 147.104225154 147.104225352 147.104225390 -8.7e-08 1.11e-07 3.8e-08
148.105116375 148.105116289 148.105116488 148.105116562 -8.6e-08 1.13e-07 7.4e-08
149.105976997 149.105976984 149.105977213 149.105977295 -1.3e-08 2.16e-07 8.2e-08
150.106877578 150.106877528 150.106877734 150.106877808 -5e-08 1.56e-07 7.4e-08
151.107556925 151.107556911 151.107557117 151.107557187 -1.4e-08 1.92e-07 7e-08
152.108274572 152.108274479 152.108274638 152.108274693 -9.3e-08 6.6e-08 5.5e-08
153.109120166 153.109120116 153.109120280 153.109120318 -5e-08 1.14e-07 3.8e-08
154.109963523 154.109963437 154.109963642 154.109963681 -8.6e-08 1.19e-07 3.9e-08
155.110643193 155.110643151 155.110643365 155.110643437 -4.2e-08 1.72e-07 7.2e-08
156.111509848 156.111509836 156.111510054 156.111510134 -1.2e-08 2.06e-07 8e-08
157.112437331 157.112437279 157.112437443 157.112437516 -5.2e-08 1.12e-07 7.3e-08
158.113379561 158.113379549 158.113379745 158.113379818 -1.2e-08 1.84e-07 7.3e-08
159.113563393 159.113563325 159.113563528 159.113563600 -6.8e-08 1.35e-07 7.2e-08
160.114401020 160.114400935 160.114401096 160.114401131 -8.5e-08 7.6e-08 3.5e-08
161.115042419 161.115042327 161.115042486 161.115042522 -9.2e-08 6.7e-08 3.6e-08
162.115720772 162.115720687 162.115720847 162.115720885 -8.5e-08 7.5e-08 3.8e-08
163.116182304 163.116182253 163.116188246 163.116188320 -5.1e-08 5.94e-06 7.4e-08
164.117027385 164.117027333 164.117027573 164.117027648 -5.2e-08 1.88e-07 7.5e-08
165.117446341 165.117446255 165.117446431 165.117446502 -8.6e-08 9e-08 7.1e-08
166.118282045 166.118281956 166.118282105 166.118282142 -8.9e-08 6e-08 3.7e-08
167.119147167 167.119147069 167.119147291 167.119147327 -9.8e-08 1.24e-07 3.6e-08
168.120050522 168.120050431 168.120050590 168.120050626 -9.1e-08 6.8e-08 3.6e-08
169.120989187 169.120989090 169.120989253 169.120989322 -9.7e-08 6.6e-08 6.9e-08
170.121183514 170.121183497 170.121183719 170.121183789 -1.7e-08 2.05e-07 7e-08
171.121887438 171.121887352 171.121887553 171.121887625 -8.6e-08 1.15e-07 7.2e-08
172.122530609 172.122530512 172.122530700 172.122530740 -9.7e-08 9.1e-08 4e-08
173.123361255 173.123361164 173.123361363 173.123361417 -9.1e-08 1.08e-07 5.4e-08
174.124193228 174.124193245 174.124193463 174.124193547 1.7e-08 2.35e-07 8.4e-08
175.124345804 175.124345779 175.124345967 175.124346047 -2.5e-08 1.63e-07 8e-08
176.125173673 176.125173590 176.125173795 176.125173844 -8.3e-08 1.22e-07 4.9e-08
177.126002698 177.126002681 177.126002897 177.126002977 -1.7e-08 1.99e-07 8e-08
178.126870574 178.126870561 178.126870794 178.126870867 -1.3e-08 2.2e-07 7.3e-08
179.126924423 179.126924412 179.126924613 179.126924706 -1.1e-08 1.9e-07 9.3e-08
180.127865066 180.127864975 180.127865134 180.127865171 -9.1e-08 6.8e-08 3.7e-08
181.128127710 181.128127691 181.128127851 181.128127924 -1.9e-08 1.41e-07 7.3e-08
182.128733753 182.128733661 182.128733820 182.128733874 -9.2e-08 6.7e-08 5.4e-08
183.129381591 183.129381565 183.129381795 183.129381884 -2.6e-08 2.04e-07 8.9e-08
184.130342727 184.130342710 184.130342945 184.130343020 -1.7e-08 2.18e-07 7.5e-08
185.131309627 185.131309558 185.131309758 185.131309804 -6.9e-08 1.31e-07 4.6e-08
186.132065478 186.132065409 186.132065569 186.132065606 -6.9e-08 9.1e-08 3.7e-08
187.132878911 187.132878848 187.132879017 187.132879056 -6.3e-08 1.06e-07 3.9e-08
188.133843902 188.133843835 188.133844008 188.133844045 -6.7e-08 1.06e-07 3.7e-08
189.134803410 189.134803319 189.134803478 189.134803516 -9.1e-08 6.8e-08 3.8e-08
190.135706996 190.135706979 190.135707195 190.135707276 -1.7e-08 1.99e-07 8.1e-08
191.136646952 191.136646923 191.136647123 191.136647198 -2.9e-08 1.71e-07 7.5e-08
192.136841900 192.136841803 192.136841964 192.136842001 -9.7e-08 6.4e-08 3.7e-08
193.137648455 193.137648437 193.137648710 193.137648787 -1.8e-08 2.55e-07 7.7e-08
194.138604671 194.138604656 194.138604932 194.138605008 -1.5e-08 2.61e-07 7.6e-08
195.139557687 195.139557602 195.139557762 195.139557799 -8.5e-08 7.5e-08 3.7e-08
196.140355908 196.140355810 196.140355967 196.140356009 -9.8e-08 5.9e-08 4.2e-08
197.140379538 197.140379482 197.140379754 197.140383764 -5.6e-08 2.16e-07 4.01e-06
198.141384335 198.141384317 198.141384594 198.141384698 -1.8e-08 2.59e-07 1.04e-07
199.142215517 199.142215488 199.142215764 199.142215840 -2.9e-08 2.47e-07 7.6e-08
200.143080160 200.143080063 200.143080211 200.143080269 -9.7e-08 5.1e-08 5.8e-08
201.143983306 201.143983218 201.143983378 201.143983419 -8.8e-08 7.2e-08 4.1e-08
202.144922653 202.144922560 202.144922720 202.144922759 -9.3e-08 6.7e-08 3.9e-08
203.145133665 203.145133569 203.145133715 203.145133741 -9.6e-08 5e-08 2.6e-08
204.145925227 204.145925129 204.145925278 204.145925301 -9.8e-08 5.1e-08 2.3e-08
205.146866643 205.146866550 205.146866710 205.146866745 -9.3e-08 6.7e-08 3.5e-08
206.147656359 206.147656274 206.147656423 206.147656449 -8.5e-08 6.4e-08 2.6e-08
207.148446500 207.148446431 207.148446594 207.148446620 -6.9e-08 9.4e-08 2.6e-08
208.149294794 208.149294783 208.149295005 208.149295080 -1.1e-08 2.11e-07 7.5e-08
209.150233403 209.150233352 209.150233557 209.150233631 -5.1e-08 1.54e-07 7.4e-08
210.151062226 210.151062137 210.151062295 210.151062371 -8.9e-08 6.9e-08 7.6e-08
211.151927710 211.151927625 211.151927786 211.151927826 -8.5e-08 7.6e-08 4e-08
212.152827785 212.152827687 212.152827836 212.152827890 -9.8e-08 5.1e-08 5.4e-08
213.153765836 213.153765739 213.153765889 213.153765914 -9.7e-08 5.3e-08 2.5e-08
214.153932315 214.153936339 214.153936528 214.153936577 4.02e-06 4.21e-06 4.9e-08
215.154867115 215.154867039 215.154867200 215.154867249 -7.6e-08 8.5e-08 4.9e-08
216.155637368 216.155637282 216.155637443 216.155637491 -8.6e-08 7.5e-08 4.8e-08
217.156406569 217.156406481 217.156406669 217.156406705 -8.8e-08 1e-07 3.6e-08
218.157174522 218.157174426 218.157174574 218.157174610 -9.6e-08 5.2e-08 3.6e-08
219.157940795 219.157940698 219.157940845 219.157940871 -9.7e-08 5e-08 2.6e-08
220.158730579 220.158730482 220.158730631 220.158730656 -9.7e-08 5.2e-08 2.5e-08
221.159325806 221.159325716 221.159325875 221.159325942 -9e-08 6.9e-08 6.7e-08
222.160189584 222.160189491 222.160189650 222.160189686 -9.3e-08 6.6e-08 3.6e-08
223.161089108 223.161089012 223.161089159 223.161089185 -9.6e-08 5.1e-08 2.6e-08
224.162025710 224.162025638 224.162025815 224.162025892 -7.2e-08 1.05e-07 7.7e-08
225.162196048 225.162195977 225.162196153 225.162196213 -7.1e-08 1.05e-07 6e-08
226.162485095 226.162485007 226.162485168 226.162485234 -8.8e-08 7.3e-08 6.6e-08
227.163250486 227.163250388 227.163250538 227.163250574 -9.8e-08 5.2e-08 3.6e-08
228.163967892 228.163967794 228.163967953 228.163967979 -9.8e-08 6.1e-08 2.6e-08
229.164683628 229.164683531 229.164683679 229.164683704 -9.7e-08 5.1e-08 2.5e-08
230.165438453 230.165438411 230.165438622 230.165438694 -4.2e-08 1.69e-07 7.2e-08
231.166229253 231.166229167 231.166229327 231.166229372 -8.6e-08 7.4e-08 4.5e-08
232.167056380 232.167056311 232.167056485 232.167056543 -6.9e-08 1.05e-07 5.8e-08
233.167919995 233.167919910 233.167920096 233.167920150 -8.5e-08 1.01e-07 5.4e-08
234.168821588 234.168821577 234.168821813 234.168821891 -1.1e-08 2.25e-07 7.8e-08
235.169760457 235.169760389 235.169760570 235.169760664 -6.8e-08 1.13e-07 9.4e-08
236.169915860 236.169915775 236.169915957 236.169916014 -8.5e-08 9.7e-08 5.7e-08
237.170668894 237.170668823 237.170668995 237.170669066 -7.1e-08 1.01e-07 7.1e-08
238.171422686 238.171422674 238.171422890 238.171422970 -1.2e-08 2.04e-07 8e-08
239.172184360 239.172184347 239.172184550 239.172184624 -1.3e-08 1.9e-07 7.4e-08
240.173088265 240.173088213 240.173088418 240.173088492 -5.2e-08 1.53e-07 7.4e-08
241.173841032 241.173840966 241.173841165 241.173841234 -6.6e-08 1.33e-07 6.9e-08
242.174629264 242.174629167 242.174629315 242.174629378 -9.7e-08 5.1e-08 6.3e-08
243.175586631 243.175586547 243.175586707 243.175586744 -8.4e-08 7.6e-08 3.7e-08
244.176472083 244.176472070 244.176472288 244.176472361 -1.3e-08 2.05e-07 7.3e-08
245.177381824 245.177381796 245.177382019 245.177382083 -2.8e-08 1.95e-07 6.4e-08
